hour,month,average_power_for_condo,min_power_for_condo,max_power_for_condo,power
9,12,357.7,214.86,520.07,349.21
10,12,357.7,214.86,520.07,360.68
11,12,357.7,214.86,520.07,373.93
12,12,357.7,214.86,520.07,381.593
13,12,357.7,214.86,520.07,380.51
14,12,357.7,214.86,520.07,375.35
15,12,357.7,214.86,520.07,379.03
16,12,357.7,214.86,520.07,385.3
17,12,357.7,214.86,520.07,408.15
18,12,357.7,214.86,520.07,434.93
19,12,357.7,214.86,520.07,437.58
20,12,357.7,214.86,520.07,422.93
21,12,357.7,214.86,520.07,410.5
22,12,357.7,214.86,520.07,384.7
23,12,357.7,214.86,520.07,358.2
0,1,127.676,79.626,172.452,120.97
1,1,127.676,79.626,172.452,116.98
2,1,127.676,79.626,172.452,114.06
3,1,127.676,79.626,172.452,113.376
4,1,127.676,79.626,172.452,112.74
5,1,127.676,79.626,172.452,114.58
6,1,127.676,79.626,172.452,119.129
7,1,127.676,79.626,172.452,125.62
8,1,127.676,79.626,172.452,128.43
9,1,127.676,79.626,172.452,125.17
10,1,127.676,79.626,172.452,126.09
11,1,127.676,79.626,172.452,126.14
12,1,127.676,79.626,172.452,125.3
13,1,127.676,79.626,172.452,125.83
14,1,127.676,79.626,172.452,127.25
15,1,127.676,79.626,172.452,129.06
16,1,127.676,79.626,172.452,134.54
17,1,127.676,79.626,172.452,146.45
18,1,127.676,79.626,172.452,153.49
19,1,127.676,79.626,172.452,155.637
20,1,127.676,79.626,172.452,155.66
21,1,127.676,79.626,172.452,152.86
22,1,127.676,79.626,172.452,146.04
23,1,127.676,79.626,172.452,132.8
0,2,127.676,79.626,172.452,126.01
1,2,127.676,79.626,172.452,121.05
2,2,127.676,79.626,172.452,118.74
3,2,127.676,79.626,172.452,118.425
4,2,127.676,79.626,172.452,119.025
5,2,127.676,79.626,172.452,120.932
6,2,127.676,79.626,172.452,126.25
7,2,127.676,79.626,172.452,132.24
8,2,127.676,79.626,172.452,134.17
9,2,127.676,79.626,172.452,132.14
10,2,127.676,79.626,172.452,133
11,2,127.676,79.626,172.452,128.18
