hour,month,average_power_summer,average_power_winter,average_power_spring,average_power_fall,power
20,8,1.189,0.9228,0.9178,0.9703,1.363550461
21,8,1.189,0.9228,0.9178,0.9703,1.298132513
22,8,1.189,0.9228,0.9178,0.9703,1.210148169
23,8,1.189,0.9228,0.9178,0.9703,1.123082192
0,9,1.189,0.9228,0.9178,0.9703,0.998378529
1,9,1.189,0.9228,0.9178,0.9703,0.96354487
2,9,1.189,0.9228,0.9178,0.9703,0.943402292
3,9,1.189,0.9228,0.9178,0.9703,0.936874476
4,9,1.189,0.9228,0.9178,0.9703,0.945540956
5,9,1.189,0.9228,0.9178,0.9703,1.001761252
6,9,1.189,0.9228,0.9178,0.9703,1.07562203
7,9,1.189,0.9228,0.9178,0.9703,1.120452893
8,9,1.189,0.9228,0.9178,0.9703,1.126880067
9,9,1.189,0.9228,0.9178,0.9703,1.15649986
10,9,1.189,0.9228,0.9178,0.9703,1.189376573
11,9,1.189,0.9228,0.9178,0.9703,1.197190383
12,9,1.189,0.9228,0.9178,0.9703,1.190914174
13,9,1.189,0.9228,0.9178,0.9703,1.178655298
14,9,1.189,0.9228,0.9178,0.9703,1.176013419
15,9,1.189,0.9228,0.9178,0.9703,1.195526978
16,9,1.189,0.9228,0.9178,0.9703,1.236538999
17,9,1.189,0.9228,0.9178,0.9703,1.297959184
18,9,1.189,0.9228,0.9178,0.9703,1.343472183
19,9,1.189,0.9228,0.9178,0.9703,1.343416271
20,9,1.189,0.9228,0.9178,0.9703,1.315571708
21,9,1.189,0.9228,0.9178,0.9703,1.249203243
22,9,1.189,0.9228,0.9178,0.9703,1.156751468
23,9,1.189,0.9228,0.9178,0.9703,1.070002796
0,10,1.189,0.9228,0.9178,0.9703,0.823623148
1,10,1.189,0.9228,0.9178,0.9703,0.79319262
2,10,1.189,0.9228,0.9178,0.9703,0.775594073
3,10,1.189,0.9228,0.9178,0.9703,0.771288789
4,10,1.189,0.9228,0.9178,0.9703,0.786415991
5,10,1.189,0.9228,0.9178,0.9703,0.850676545
6,10,1.189,0.9228,0.9178,0.9703,0.92144255
7,10,1.189,0.9228,0.9178,0.9703,0.963377132
8,10,1.189,0.9228,0.9178,0.9703,0.95389712
9,10,1.189,0.9228,0.9178,0.9703,0.963600783
10,10,1.189,0.9228,0.9178,0.9703,0.980721275
11,10,1.189,0.9228,0.9178,0.9703,0.99133352
12,10,1.189,0.9228,0.9178,0.9703,0.991892647
13,10,1.189,0.9228,0.9178,0.9703,0.986972323
14,10,1.189,0.9228,0.9178,0.9703,0.973105955
15,10,1.189,0.9228,0.9178,0.9703,0.984707856
16,10,1.189,0.9228,0.9178,0.9703,1.032876712
17,10,1.189,0.9228,0.9178,0.9703,1.120464076
18,10,1.189,0.9228,0.9178,0.9703,1.180514398
19,10,1.189,0.9228,0.9178,0.9703,1.166759855
20,10,1.189,0.9228,0.9178,0.9703,1.134246575
21,10,1.189,0.9228,0.9178,0.9703,1.051747274
22,10,1.189,0.9228,0.9178,0.9703,0.965613643
23,10,1.189,0.9228,0.9178,0.9703,0.882499301
0,11,1.189,0.9228,0.9178,0.9703,0.856611686
1,11,1.189,0.9228,0.9178,0.9703,0.80332681
2,11,1.189,0.9228,0.9178,0.9703,0.767123288
3,11,1.189,0.9228,0.9178,0.9703,0.752669835
4,11,1.189,0.9228,0.9178,0.9703,0.746882863
5,11,1.189,0.9228,0.9178,0.9703,0.766787811
6,11,1.189,0.9228,0.9178,0.9703,0.823147889
7,11,1.189,0.9228,0.9178,0.9703,0.898630137
8,11,1.189,0.9228,0.9178,0.9703,0.933184233
9,11,1.189,0.9228,0.9178,0.9703,0.930500419
10,11,1.189,0.9228,0.9178,0.9703,0.946757059
11,11,1.189,0.9228,0.9178,0.9703,0.97971764
12,11,1.189,0.9228,0.9178,0.9703,0.994310875
13,11,1.189,0.9228,0.9178,0.9703,0.998741963
14,11,1.189,0.9228,0.9178,0.9703,0.994716243
15,11,1.189,0.9228,0.9178,0.9703,0.987699189
16,11,1.189,0.9228,0.9178,0.9703,1.009868605
17,11,1.189,0.9228,0.9178,0.9703,1.070170534
18,11,1.189,0.9228,0.9178,0.9703,1.145093654
19,11,1.189,0.9228,0.9178,0.9703,1.161615879
20,11,1.189,0.9228,0.9178,0.9703,1.141291585
21,11,1.189,0.9228,0.9178,0.9703,1.118367347
22,11,1.189,0.9228,0.9178,0.9703,1.03892927
23,11,1.189,0.9228,0.9178,0.9703,0.942130277
0,12,1.189,0.9228,0.9178,0.9703,0.907604138
1,12,1.189,0.9228,0.9178,0.9703,0.853676265
2,12,1.189,0.9228,0.9178,0.9703,0.820016774
3,12,1.189,0.9228,0.9178,0.9703,0.792060386
4,12,1.189,0.9228,0.9178,0.9703,0.777355326
5,12,1.189,0.9228,0.9178,0.9703,0.779284316
6,12,1.189,0.9228,0.9178,0.9703,0.845009785
7,12,1.189,0.9228,0.9178,0.9703,0.912412636
8,12,1.189,0.9228,0.9178,0.9703,0.964495387
9,12,1.189,0.9228,0.9178,0.9703,0.976265027
10,12,1.189,0.9228,0.9178,0.9703,1.008331004
11,12,1.189,0.9228,0.9178,0.9703,1.045373218
12,12,1.189,0.9228,0.9178,0.9703,1.066796198
13,12,1.189,0.9228,0.9178,0.9703,1.063768521
14,12,1.189,0.9228,0.9178,0.9703,1.049343025
15,12,1.189,0.9228,0.9178,0.9703,1.059630976
16,12,1.189,0.9228,0.9178,0.9703,1.077159631
17,12,1.189,0.9228,0.9178,0.9703,1.141039978
18,12,1.189,0.9228,0.9178,0.9703,1.215907185
19,12,1.189,0.9228,0.9178,0.9703,1.223315628
20,12,1.189,0.9228,0.9178,0.9703,1.182359519
21,12,1.189,0.9228,0.9178,0.9703,1.147609729
22,12,1.189,0.9228,0.9178,0.9703,1.075482248
23,12,1.189,0.9228,0.9178,0.9703,1.001397819
0,1,1.09316,1.00523,0.7878,1.1139,0.938188426
